day,time,Time,type,theme,nbr likes,nbr share,nbr comment,eng,total.eng
Monday,9:14,9h-11h,text+photo,Identite,224,3,1,228,Engagement très fort
Thursday,12:13,11h-14h,text+link,Identite,63,3,1,67,Engagement intermédiaire
Wednesday,12:26,11h-14h,text+photo,Identite,26,2,1,29,engagement faible
Thursday,11:22,11h-14h,text+link,Identite,33,3,1,37,Engagement intermédiaire
Tuesday,11:25,11h-14h,text+link,Identite,23,0,1,24,engagement faible
Saturday,23:10,Après 19h,text+link,Identite,54,1,1,56,Engagement intermédiaire
Friday,19:27,Après 19h,text+photo,Identite,23,0,1,24,engagement faible
Tuesday,19:30,Après 19h,text+link,Identite,30,0,1,31,Engagement intermédiaire
Wednesday,22:30,Après 19h,text+link,Identite,26,0,1,27,engagement faible
Thursday,16:14,14h-17h,text+link,Identite,138,4,1,143,Engagement fort
Wednesday,14:14,14h-17h,text+link ,Information,288,15,1,304,Engagement très fort
Thursday,11:18,11h-14h,link,Identite,47,2,0,49,Engagement intermédiaire
Friday,12:52,11h-14h,text+link,Administration,105,3,75,183,Engagement fort
Friday,16:00,14h-17h,text+link+photo,Education,92,22,68,182,Engagement fort
Tuesday,18:53,17h-19h,text+link ,Administration,455,47,64,566,Engagement très fort
Tuesday,14:22,14h-17h,text+link,Information,100,8,55,163,Engagement fort
Wednesday,10:56,9h-11h,text+link,Administration,126,9,44,179,Engagement fort
Monday,13:39,11h-14h,text+link,Information,111,9,36,156,Engagement fort
Saturday,17:00,14h-17h,text+link+photo,Administration,63,2,33,98,Engagement fort
Tuesday,16:39,14h-17h,text+photo,Relation,64,2,26,92,Engagement fort
Friday,13:34,11h-14h,text+link,Administration,40,12,25,77,Engagement intermédiaire
Monday,11:50,11h-14h,text+link,Administration,64,18,21,103,Engagement fort
Tuesday,20:58,Après 19h,text+link,Identite,77,13,18,108,Engagement fort
Tuesday,14:15,14h-17h,text+link,Identite,52,5,17,74,Engagement intermédiaire
Friday,11:06,11h-14h,text+link,Identite,35,3,16,54,Engagement intermédiaire
Tuesday,14:42,14h-17h,text+link,Administration,62,4,16,82,Engagement fort
Friday,12:38,11h-14h,text+link,Identite,112,8,15,135,Engagement fort
Thursday,13:01,11h-14h,text+link,Administration,80,4,15,99,Engagement fort
Thursday,20:00,Après 19h,text+link ,Identite,78,39,14,131,Engagement fort
Tuesday,17:21,17h-19h,text+link ,Identite,256,2,12,270,Engagement très fort
Wednesday,23:59,Après 19h,text+link,Administration,44,3,11,58,Engagement intermédiaire
Friday,10:50,9h-11h,text+link,Administration,42,3,9,54,Engagement intermédiaire
